tanggal,isu,tonality,berita_jakarta,link/page
2019-08-01,Nasib DKI Jakarta Setelah Ibu Kota Pindah ke Kalimantan,NETRAL,,
2019-08-01,Integrasi Transportasi Oleh Jaklingko,POSITIF,Musyawarah Kerja Daerah Organda Jakarta Anies Targetkan Integrasi Moda Transportasi Massal Melalui Jak Lingko,https://www.beritajakarta.id/read/70758/musyawarah-kerja-daerah-organda-jakarta-anies-targetkan-integrasi-moda-transportasi-massal-melalui-jak-lingko#.XUJa0fIzaHs
2019-08-01,Integrasi Transportasi Oleh Jaklingko,POSITIF,Warga Apresiasi Pengoperasian Dua Jak Lingko di Terminal Rambutan,https://www.beritajakarta.id/read/70829/warga-apresiasi-pengoperasian-dua-jak-lingko-di-terminal-rambutan#.XUP7L_IzaHs
2019-08-01,Pengelolaan Sampah Jakarta vs Surabaya,NETRAL,,
2019-08-02,Sidang Perdana Polusi Udara,NETRAL,Dishub Ingin Penggunaan Kendaraan Listrik Lebih Dioptimalkan,https://www.beritajakarta.id/read/70807/dewan-dukung-percepatan-pengoperasian-bus-listrik-di-jakarta#.XUOgqPIzaHs
2019-08-02,Sidang Perdana Polusi Udara,NETRAL,Pemprov DKI-ICLEI Sepakati Kerja Sama Penurunan Emisi Gas Rumah Kaca,https://www.beritajakarta.id/read/70819/pemprov-dki-iclei-sepakati-kerja-sama-penurunan-emisi-gas-rumah-kaca#.XUO73fIzaHs
2019-08-02,Sidang Perdana Polusi Udara,NETRAL,Terbitkan Ingub Pemprov DKI Siapkan 7 Inisiatif Pengendalian Kualitas Udara,https://www.beritajakarta.id/read/70850/terbitkan-ingub-pemprov-dki-siapkan-7-inisiatif-pengendalian-kualitas-udara#.XUetKvIzaHs
2019-08-02,Sidang Perdana Polusi Udara,NETRAL,DKI Matangkan Aplikasi Pemantauan Kualitas Udara,https://www.beritajakarta.id/read/70888/dki-matangkan-aplikasi-pemantauan-kualitas-udara#.XUfenPIzaHs
2019-08-02,Sidang Perdana Polusi Udara,NETRAL,Dewan Dukung Percepatan Pengoperasian Bus Listrik di Jakarta,https://www.beritajakarta.id/read/70814/dishub-ingin-penggunaan-kendaraan-listrik-lebih-dioptimalkan#.XUOgkPIzaHs
2019-08-02,Bantuan untuk Pencari Suaka Dihentikan,NETRAL,,
2019-08-05,Rencana Perluasan Ganjil Genap Sepeda Motor,NETRAL,Terbitkan Ingub Pemprov DKI Siapkan 7 Inisiatif Pengendalian Kualitas Udara,https://www.beritajakarta.id/read/70850/terbitkan-ingub-pemprov-dki-siapkan-7-inisiatif-pengendalian-kualitas-udara#.XUetKvIzaHs
2019-08-05,Sindirian Konsep Pengelolaan ITF Sunter,NEGATIF,,
2019-08-05,Pelayanan Publik Saat Pemadaman Listrik di Jakarta,POSITIF,Listrik Mati di Jakarta Anies Pastikan Pelayanan Publik Tidak Mengalami Gangguan,https://www.beritajakarta.id/read/70875/listrik-mati-di-jakarta-anies-pastikan-pelayanan-publik-tidak-mengalami-gangguan#.XUetBfIzaHs
2019-08-05,Pelayanan Publik Saat Pemadaman Listrik di Jakarta,POSITIF,Kereta Ratangga Kembali Beroperasi Secara Normal,https://www.beritajakarta.id/read/70876/kereta-ratangga-kembali-beroperasi-secara-normal#.XUetB_IzaHs
2019-08-05,Pelayanan Publik Saat Pemadaman Listrik di Jakarta,POSITIF,Listrik Padam Transjakarta Gratiskan Semua Rute,https://www.beritajakarta.id/read/70874/listrik-padam-transjakarta-gratiskan-semua-rute#.XUetCfIzaHs
2019-08-05,Pelayanan Publik Saat Pemadaman Listrik di Jakarta,POSITIF,Evakuasi Penumpang Kereta Ratangga Berjalan Lancar,https://www.beritajakarta.id/read/70871/evakuasi-penumpang-kereta-ratangga-berjalan-lancar#.XUetDvIzaHs
2019-08-05,Pelayanan Publik Saat Pemadaman Listrik di Jakarta,POSITIF,Aliran Listrik di Jakarta Padam Penumpang Kereta Ratangga Dievakuasi,https://www.beritajakarta.id/read/70869/aliran-listrik-di-jakarta-padam-penumpang-kereta-ratangga-dievakuasi#.XUetFfIzaHs
2019-08-05,Pelayanan Publik Saat Pemadaman Listrik di Jakarta,POSITIF,Panduan Ketika Gempa di Stasiun dan Kereta MRT,https://www.beritajakarta.id/read/70864/panduan-ketika-gempa-di-stasiun-dan-kereta-mrt#.XUetGPIzaHs
2019-08-06,Sanksi Pungli Jatah Sapi Camat Matraman,NETRAL,,
2019-08-06,Transjakarta dan Upaya Peningkatan Kualitas Layanan,POSITIF,,
2019-08-06,Pengendalian Kualitas Udara di Jakarta,NETRAL,Dishub Ingin Penggunaan Kendaraan Listrik Lebih Dioptimalkan,https://www.beritajakarta.id/read/70807/dewan-dukung-percepatan-pengoperasian-bus-listrik-di-jakarta#.XUOgqPIzaHs
2019-08-06,Pengendalian Kualitas Udara di Jakarta,NETRAL,Pemprov DKI-ICLEI Sepakati Kerja Sama Penurunan Emisi Gas Rumah Kaca,https://www.beritajakarta.id/read/70819/pemprov-dki-iclei-sepakati-kerja-sama-penurunan-emisi-gas-rumah-kaca#.XUO73fIzaHs
2019-08-06,Pengendalian Kualitas Udara di Jakarta,NETRAL,Terbitkan Ingub Pemprov DKI Siapkan 7 Inisiatif Pengendalian Kualitas Udara,https://www.beritajakarta.id/read/70850/terbitkan-ingub-pemprov-dki-siapkan-7-inisiatif-pengendalian-kualitas-udara#.XUetKvIzaHs
2019-08-06,Pengendalian Kualitas Udara di Jakarta,NETRAL,Pemprov DKI Remajakan Angkutan Umum dan Tambah Armada Program Jak Lingko,https://www.beritajakarta.id/read/70947/pemprov-dki-remajakan-angkutan-umum-dan-tambah-armada-program-jak-lingko#.XUo-p_IzaHs
